,Id,Title,ISBN,Author,publication_year,publisher,language_code,description,reviews_count,ratings_count,original_publication_year,num_pages,format,series_work,similar_books,shelves,SmallImgURL,ImgURL
0,17899948,Rebecca,0316323705,Daphne du Maurier,2013,"Little, Brown and Company",eng,"Last night I dreamt I went to Manderley again . . .<br /><br />The novel begins in Monte Carlo, where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage. Orphaned and working as a lady's maid, she can barely believe her luck. It is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their lives--presenting her with a lingering evil that threatens to destroy their marriage from beyond the grave.",20816,411960,1938,449,ebook,False,"Jane Eyre;Wuthering Heights;Murder at the Vicarage (Miss Marple, #1);The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1);And Then There Were None;The Woman in White;We Have Always Lived in the Castle;Little Women;The Thirteenth Tale;Gone with the Wind;Emma;Tess of the D'Urbervilles;The Haunting of Hill House;Northanger Abbey;The Secret History;My Sister, the Serial Killer;Sense and Sensibility;The 7½ Deaths of Evelyn Hardcastle",classics favorites fiction mystery romance gothic classic book-club books-i-own favourites,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169l/17899948._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169l/17899948._SX98_.jpg
0,35895961,"Those Brave, Foolish Souls from the City of Swords (Yarnsworld #3)",197757615X,Benedict Patrick,2017,Createspace Independent Publishing Platform,eng,"Don't draw your blade in the City of Swords, unless you're willing to kill… or ready to die.<br /><br />Young and filled with idealistic fervor, Arturo packs his blade and travels to the fabled City of Swords in the hopes of joining the dashing Bravadori. Yet upon arriving he discovers these masked vigilantes have more in common with brutal thugs than noble monster slayers. Disillusioned and mocked, he stubbornly refuses to give up his dreams.<br /><br />When an impending bandit attack threatens untold depravities upon a distant village, and no others will heed the call for help, Arturo joins forces with a worthless outcast and a walking legend to attempt the impossible, to traverse the demon-haunted wilderness and prove that in the City of Swords, true heroes can rise from the unlikeliest of places.<br /><br />Those Brave, Foolish Souls from the City of Swords is a gritty, action-packed standalone novel set in Benedict Patrick’s Yarnsworld, a land where folktales and fantasy mix, where the monsters from stories are real.<br /><br />Start reading today to discover this epic tale of broken heroes and inspiring hope!",61,234,2017,320,Paperback,True,"Never Die;We Ride the Storm (The Reborn Empire, #1);Death March (Euphoria Online #1);Aching God (Iconoclasts, #1);Balam, Spring;Chasing Graves (The Chasing Graves Trilogy, #1);Hero Forged (Ethereal Earth, #1);Paternus: Wrath of Gods (The Paternus Trilogy, #2);Paternus: Rise of Gods (The Paternus Trilogy, #1);Nightmare Keep (Euphoria Online #2);Uncrowned (Cradle, #7);The Sword of Kaigen;Killer Dungeon (Euphoria Online #3);The Wolf of Oren-Yaro;The Gods of Men (Gods of Men, #1);The Delivery of Flesh (Bulletproof Witch, #1);Kings of Paradise (Ash and Sand #1);Sir Thomas the Hesitant and the Table of Less Valued Knights (Less Valued Knights, #1)",fantasy kindle fiction dark-fantasy indie kindle-unlimited spfbo4 self-published books-i-own series,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507265062l/35895961._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507265062l/35895961._SX98_.jpg
0,35260922,Dragonship,,J.P. Ashman,2017,J.P. Ashman,eng,"Beln, Gellborn officer aboard a red dragonship has reached the near-peak of her career.<br /><br />But ordered to pursue a rare, wild dragon by her sadistic captain, Beln is torn between those loyalties bred into her and those grown anew for her ship's mount.<br /><br />During horrific havoc among his fellow gunners, a Gellborn family failure acts on the sudden realization that his heritage is far worse than the beast his uncle hunts.<br /><br />Two Gellborn. Two dragons. One decision.<br /><br />Him, or them?<br /><br />""Brilliant, sharp, original, witty and emotional.""<br />- Dyrk Ashton, Author of Paternus",42,61,,30,Kindle Edition,False,"Art of War;Faithless;Age of Assassins (The Wounded Kingdom, #1);The Empire of the Dead (The Godsblood Trilogy #1);Priest of Bones (War for the Rose Throne, #1);The Heart of Stone;Paternus: Wrath of Gods (The Paternus Trilogy, #2);Blood of Assassins (The Wounded Kingdom #2);The Court of Broken Knives (Empires of Dust #1);Bound (Book of the Ancestor, #2.5);Uncanny Collateral (Valkyrie Collections, #1);Godblind (Godblind, #1);The Blood-Tainted Winter (The Song of the Ash Tree, #1);Where Loyalties Lie;Grey Sister (Book of the Ancestor, #2);Blackwing (Raven's Mark, #1);Those Brave, Foolish Souls from the City of Swords (Yarnsworld #3);Paternus: Rise of Gods (The Paternus Trilogy, #1)",fantasy fiction indie short-story high-fantasy self-published tba-sffa kindle-unlimited want-to-read-short-stories e-books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496057200l/35260922._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496057200l/35260922._SX98_.jpg
0,34907236,Fates and Furies (The Sphinx Book 4),,Raye Wagner,,,,"<b>The Olympian gods cause nothing but chaos…</b> <br /><br /> <br />Hope escaped the Underworld with her life, but her memories are as blank as the Book of the Fates she brought back. Still determined to break the curse, she and Xan take an offering to the Olympian temple to solicit the goddess Artemis for aid. But the petition has disastrous results, and now the gods are hunting her. <br /><br /> <br />Athan sacrificed everything for Hope, but she’s leaving him behind to travel with Xan to Mount Olympus. But the closer they get, the more Athan’s mortality becomes a liability. Forced to seek refuge in mists and darkness, Athan tangles with deities that weave the very threads of fate. But these goddesses also wield the immortal blades that lay ruin to destinies. <br /><br /> <br />With everyone she loves damaged or destroyed by the blood of Olympus, Hope must face the power of the past to change the fate of the future. <br /><br /> <br />Fates and Furies is the fourth and final book in The Sphinx series. <br /><br /> <br />The Sphinx Series is for readers who love <br /> Greek Mythology <br /> Ancient Greek curses <br /> Greek goddesses <br /> Mythical creatures and monsters <br /> Immortal powers <br /> Greek gods and heroes <br /> Magical realism <br /> Dark fantasy <br />and epic stories.",67,471,2017,,,True,"Fantasy of Freedom (Tainted Accords #4);Fantasy of Fire (Tainted Accords #3);Olandon: A Tainted Accords Novella, 4.6;Sin (The Tainted Accords, #4.5);Fantasy of Flight (Tainted Accords, #2);Rhone: A Tainted Accords Novella, 4.7;Fantasy of Frost (Tainted Accords, #1);Enemy's Queen (The Aermian Feuds, #3);Oath Taker (Kingdom of Runes, #1);Crown's Shield (The Aermian Feuds, #2);Rebel's Blade (The Aermian Feuds, #1);Ebba-Viva Fairisles: Immortal Plunder (Pirates of Felicity #1);The Return (The After Trilogy, #2);Defender (Night War Saga, #2);Ebba-Viva Fairisles: Dynami's Wrath (Pirates of Felicity #4);The Reprisal (The After Trilogy Book 3);Ebba-Viva Fairisles: Veritas (Pirates of Felicity #5);Ebba-Viva Fairisles: Eternal Gambit (Pirates of Felicity 6)",kindle-unlimited fantasy young-adult mythology have ll need-to-buy kindle favorites raye-wagner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528654144l/34907236._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528654144l/34907236._SX98_.jpg
0,785454,Train to Pakistan,,Khushwant Singh,1994,Grove Press,en-US,پاکستان ایکسپریس کا موضوع دورانِ تقسیم ہند و پاکستان کے فسادات ہیں۔ ناول پنجاب کے ایک گانو منوماجرا کے گرد گھومتا ہے جس کی بیشتر آبادی سکھ ہے اور ان کے مزارعہ مسلمان ہیں۔ سکھوں کے دل میں کوئی جذبۂ منافقت نہیں مگر کچھ اشعتال پسند انھیں زبردستی اشعتال کی راہ پر گامزن کردیتے ہیں۔,1348,20136,1956,192,Paperback,False,"The Palace of Illusions;The Immortals of Meluha (Shiva Trilogy, #1);The White Tiger;2 States: The Story of My Marriage;The Secret of the Nagas (Shiva Trilogy #2);The Oath of the Vayuputras (Shiva Trilogy, #3);The 3 Mistakes of My Life;Five Point Someone: What Not to Do at IIT;Wings of Fire: An Autobiography;Our Moon Has Blood Clots: The Exodus of the Kashmiri Pandits;Revolution 2020: Love, Corruption, Ambition;Lajja: Shame;I Too Had a Love Story;One Night at the Call Center;The Guide;Poonachi: Or the Story of a Black Goat;The God of Small Things;Curfewed Night",fiction india historical-fiction favorites history indian indian-authors classics owned books-i-own,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342220976l/785454._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342220976l/785454._SX98_.jpg
0,124432,White Mughals: Love and Betrayal in Eighteenth-Century India,014200412X,William Dalrymple,2004,Penguin Books,eng,"<b>White Mughals</b> is the romantic and ultimately tragic tale of a passionate love affair that crossed and transcended all the cultural, religious and political boundaries of its time.James Achilles Kirkpatrick was the British Resident at the court of the Nizam of Hyderabad when in 1798 he glimpsed Kahir un-Nissa—'Most excellent among Women'—the great-niece of the Nizam's Prime Minister and a descendant of the Prophet. Kirkpatrick had gone out to India as an ambitious soldier in the army of the East India Company, eager to make his name in the conquest and subjection of the subcontinent. Instead, he fell in love with Khair and overcame many obstacles to marry her—not least of which was the fact that she was locked away in purdah and engaged to a local nobleman. Eventually, while remaining Resident, Kirkpatrick converted to Islam, and according to Indian sources even became a double-agent working for the Hyderabadis against the East India Company.<br /><br />It is a remarkable story, involving secret assignations, court intrigue, harem politics, religious and family disputes. But such things were not unknown; from the early sixteenth century, when the Inquisition banned the Portuguese in Goa from wearing the dhoti, to the eve of the Indian mutiny, the 'white Mughals' who wore local dress and adopted Indian ways were a source of embarrassments to successive colonial administrations. William Dalrymple unearths such colourful figures as 'Hindoo Stuart', who travelled with his own team of Brahmins to maintain his temple of idols, and who spent many years trying to persuade the memsahibs of Calcutta to adopt the sari; and Sir David Ochterlony, Kirkpatrick's counterpart in Delhi, who took all thirteen of his wives out for evening promenades, each on the back of their own elephant.<br /><br />In <b>White Mughals</b>, William Dalrymple discovers a world almost entirely unexplored by history, and places at its centre a compelling tale of love, seduction and betrayal. It possesses all the sweep and resonance of a great nineteenth-century novel, set against a background of shifting alliances and the manoeuvring of the great powers, the mercantile ambitions of the British and the imperial dreams of Napoleon. <b>White Mughals</b>, the product of five years' writing and research, triumphantly confirms Dalrymple's reputation as one of the finest writers at work today.",302,3788,2002,580,Paperback,False,"India After Gandhi: The History of the World's Largest Democracy;Indian Summer: The Secret History of the End of an Empire;Freedom at Midnight;River of Smoke;Sea of Poppies (Ibis Trilogy, #1);The Lives of Others;Flood of Fire;Early Indians: The Story of Our Ancestors and Where We Came From;Train to Pakistan;Rebel Sultans: The Deccan from Khilji to Shivaji;A History of India, Vol. 1: From Origins to 1300 (A History of India #1);The Glass Palace;Midnight's Children;The Moor's Last Sigh;The Music Room;The Spy Chronicles: RAW, ISI and the Illusion of Peace;India Unbound: The Social and Economic Revolution from Independence to the Global Information Age;The Hungry Tide",history india non-fiction nonfiction owned favorites historical-fiction fiction biography books-i-own,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309285574l/124432._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309285574l/124432._SX98_.jpg
0,99383,"Blood Rites (The Dresden Files, #6)",0451459873,Jim Butcher,2004,Roc,eng,"For Harry Dresden, Chicago's only professional wizard, there have been worse assignments than going undercover on the set of an adult film. Dodging flaming monkey poo, for instance. Or going toe-to-leaf with a walking plant monster. Still, there is something more troubling than usual about his newest case. The film's producer believes he's the target of a sinister entropy curse, but it's the women around him who are dying, in increasingly spectacular ways.<br /><br />Harry is doubly frustrated because he got involved with this bizarre mystery only as a favor to Thomas, his flirtatious, self-absorbed vampire acquaintance of dubious integrity. Thomas has a personal stake in the case Harry can't quite figure out, until his investigation leads him straight to Thomas' oversexed vampire family. Harry is about to discover that Thomas' family tree has been hiding a shocking secret; a revelation that will change Harry's life forever.",2778,102559,2004,452,Paperback,True,"My Big Fat Supernatural Wedding;Under My Hat: Tales from the Cauldron;Blood Lite III: Aftertaste (Blood Lite, #3);My Big Fat Supernatural Honeymoon;Many Bloody Returns;Blood Lite (Hellchaser, #0.5);Hounded (The Iron Druid Chronicles, #1);Hexed (The Iron Druid Chronicles, #2);Hammered (The Iron Druid Chronicles, #3);Starsight (Skyward, #2);Beyond the Pale;Trapped (The Iron Druid Chronicles, #5);Tricked (The Iron Druid Chronicles, #4);Hunted (The Iron Druid Chronicles, #6);Shattered (The Iron Druid Chronicles, #7);Staked (The Iron Druid Chronicles, #8);Fated (Alex Verus, #1);Chosen (Alex Verus, #4)",fantasy urban-fantasy fiction mystery dresden-files favorites paranormal owned magic jim-butcher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345557965l/99383._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345557965l/99383._SY160_.jpg
0,34101303,Ghosts of Tomorrow,,Michael R. Fletcher,2017,Michael R. Fletcher,eng,"The children are the future.<br />And someone is turning them into highly trained killing machines.<br /><br />Straight out of school, Griffin, a junior Investigations agent for the North American Trade Union, is put on the case: Find and close the illegal crèches. No one expects him to succeed, Griffin least of all. Installed in a combat chassis Abdul, a depressed seventeen year old killed during the Secession Wars in Old Montreal, is assigned as Griffin's Heavy Weapons support. Nadia, a state-sanctioned investigative reporter working the stolen children story, pushes Griffin ever deeper into the nightmare of the black market brain trade. <br /><br />Deep in the La Carpio slums of Costa Rica, the scanned mind of an autistic girl runs the South American Mafia's business interests. But she wants more. She wants freedom. And she has come to see humanity as a threat. She has an answer: Archaeidae. At fourteen, he is the deadliest assassin alive. Two children against the world.<br /><br />The world is going to need some help.",83,280,2017,394,Kindle Edition,False,"Crowfall (Raven's Mark, #3);Never Die;Aching God (Iconoclasts, #1);Sin Eater (Iconoclasts, #2);Paternus: Rise of Gods (The Paternus Trilogy, #1);Ravencry (Raven's Mark #2);Kings of Ash (Ash and Sand, #2);The Sword of Kaigen;Bright Steel (Masters & Mages, #3);The Gutter Prayer (The Black Iron Legacy, #1);Dispel Illusion (Impossible Times, #3);The Black Hawks (Articles of Faith, #1);The Tower of Living and Dying (Empires of Dust #2);Beggar's Rebellion (Resonant #1);Chasing Graves (The Chasing Graves Trilogy, #1);Dark Forge (Masters & Mages, #2);Blood of Heirs (The Coraidic Sagas #1);Kings of Paradise (Ash and Sand #1)",sci-fi science-fiction scifi cyberpunk fiction kindle grimdark favorites dystopian fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486948172l/34101303._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486948172l/34101303._SX98_.jpg
0,34023133,Faithless,,Graham Austin-King,2017,Fallen Leaf Press,eng,"The temples of the Forgefather have fallen. The clerics and defenders that could once be found across the nine lands are no more. Priests huddle in the great temple, clinging to the echoes of their lost religion. But the Father has fallen silent. There are none who still hear his voice.<br /><br />The mines of Aspiration lie far below the temple's marble halls. Slaves toil in the blackness, striving to earn their way into the church and the light. Wynn has been sold into this fate, traded for a handful of silver. In the depths of the mines, where none dare carry flame, he must meet his tally or die. But there are things that lurk in that darkness, and still darker things within the hearts of men.<br /><br />When the souls bound to the great forge are released in a failed ritual, one novice flees down into the darkness of the mines. The soulwraiths know only hunger, the risen know only hate. In the blackest depths Kharios must seek a light to combat the darkness which descends.",124,326,2017,380,Kindle Edition,False,"Paternus: Rise of Gods (The Paternus Trilogy, #1);Where Loyalties Lie;Kings of Paradise (Ash and Sand #1);Aching God (Iconoclasts, #1);We Ride the Storm (The Reborn Empire, #1);The Court of Broken Knives (Empires of Dust #1);Paternus: Wrath of Gods (The Paternus Trilogy, #2);Never Die;Priest of Bones (War for the Rose Throne, #1);They Mostly Come Out at Night (Yarnsworld, #1);The Gutter Prayer (The Black Iron Legacy, #1);Blackwing (Raven's Mark, #1);Godblind (Godblind, #1);Ravencry (Raven's Mark #2);Priest of Lies (War for the Rose Throne, #2);The Fifth Empire of Man (Best Laid Plans #2);King of Assassins (The Wounded Kingdom, #3);Art of War",fantasy dark-fantasy grimdark kindle-unlimited kindle epic-fantasy ebook dark horror spfbo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496653543l/34023133._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496653543l/34023133._SX98_.jpg
0,33916060,"Blackwing (Raven's Mark, #1)",0399587799,Ed McDonald,2017,Ace Books,eng,"<p>The republic faces annihilation, despite the vigilance of Galharrow's Blackwings. When a raven tattoo rips itself from his arm to deliver a desperate message, Galharrow and a mysterious noblewoman must investigate a long dead sorcerer's legacy. But there is a conspiracy within the citadel: traitors, flesh-eaters and the ghosts of the wastelands seek to destroy them, but if they cannot solve the ancient wizard's paradox, the Deep Kings will walk the earth again, and all will be lost.</p><p>The war with the Eastern Empire ended in stalemate some eighty years ago, thanks to Nall's 'Engine', a wizard-crafted weapon so powerful even the Deep Kings feared it. The strike of the Engine created the Misery - a wasteland full of ghosts and corrupted magic that now forms a No Mans Land along the frontier. But when Galharrow investigates a frontier fortress, he discovers complacency bordering on treason: then the walls are stormed, and the Engine fails to launch. Galharrow only escapes because of the preternatural magical power of the noblewoman he was supposed to be protecting. Together, they race to the capital to unmask the traitors and restore the republic's defences. Far across the Misery a vast army is on the move, as the Empire prepares to call the republic's bluff.</p>",693,3702,2017,360,Paperback,True,"Priest of Bones (War for the Rose Throne, #1);Priest of Lies (War for the Rose Throne, #2);Age of Assassins (The Wounded Kingdom, #1);The Gutter Prayer (The Black Iron Legacy, #1);The Court of Broken Knives (Empires of Dust #1);The Grey Bastards (The Lot Lands, #1);God of Broken Things;A Little Hatred (The Age of Madness, #1);The Traitor God (Age of Tyranny, #1);Blood of Assassins (The Wounded Kingdom #2);The Black Hawks (Articles of Faith, #1);King of Assassins (The Wounded Kingdom, #3);Dark Forge (Masters & Mages, #2);Cold Iron (Masters & Mages, #1);Bright Steel (Masters & Mages, #3);Beyond Redemption (Manifest Delusions, #1);Godblind (Godblind, #1);The True Bastards (The Lot Lands, #2)",fantasy grimdark fiction owned favorites adult post-apocalyptic series dark-fantasy magic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486071174l/33916060._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486071174l/33916060._SX98_.jpg
0,34865057,"The Trouble with Twelfth Grave (Charley Davidson, #12)",,Darynda Jones,,,eng,"<p>Ever since Reyes escaped from a hell dimension in which Charley accidently trapped him, the son of Satan has been brimstone-bent on destroying the world his heavenly Brother created. His volatile tendencies have put Charley in a bit of a pickle. But that’s not the only briny vegetable on her plate. While trying to domesticate the feral being that used to be her husband, she also has to deal with her everyday life of annoying all manner of beings—some corporeal, some not so much—as she struggles to right the wrongs of society. Only this time she’s not uncovering a murder. This time she’s covering one up. </p><p>Add to that her new occupation of keeping a startup PI venture—the indomitable mystery-solving team of Amber Kowalski and Quentin Rutherford—out of trouble and dealing with the Vatican’s inquiries into her beloved daughter, and Charley is on the brink of throwing in the towel and becoming a professional shopper. Or possibly a live mannequin. But when someone starts attacking humans who are sensitive to the supernatural world, Charley knows it’s time to let loose her razor sharp claws. Then again, her number one suspect is the dark entity she’s loved for centuries. So the question becomes, can she tame the unruly beast before it destroys everything she’s worked so hard to protect?</p>",1349,10258,2017,,,True,"Storm Cursed (Mercy Thompson, #11);Grave Ransom (Alex Craft, #5);Magic Triumphs (Kate Daniels, #10);Grave Destiny (Alex Craft, #6);Shades of Wicked (Night Rebel, #1);Sapphire Flames (Hidden Legacy, #4);Diamond Fire (Hidden Legacy, #3.5);Burn Bright (Alpha & Omega, #5; Mercy Thompson World - Complete, #15);Dark Queen (Jane Yellowrock, #12);Flame in the Dark (Soulwood, #3);Archangel's Viper (Guild Hunter, #10);Grave Visions (Alex Craft, #4);Shattered Bonds (Jane Yellowrock, #13);Wild Hunger (Heirs of Chicagoland, #1);Archangel's War (Guild Hunter, #12);Wildfire (Hidden Legacy, #3);Grave Dance (Alex Craft, #2);Sweep of the Blade (Innkeeper Chronicles, #4)",paranormal urban-fantasy fantasy romance favorites paranormal-romance series mystery audiobook darynda-jones,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,276113,"A History of India, Vol. 1: From Origins to 1300 (A History of India #1)",0140138358,Romila Thapar,1990,Penguin,eng,"A full account of Indian history from the establishment of Aryan culture to the coming of the Mughals in 1526 A.D. This work brings to life thousands of years of history, tracing India's evolution before contact with modern Europe was established: its prehistoric beginnings; the great cities of the Indus civilization; the emergence of mighty dynasties such as the Mauryas, Guptas, and Cholas; the teachings of the Buddha; the creation of heroic epics such as the Mahabharata and the Ramayana; and the creation of regional cultures. Thapar introduces figures from the remarkable visionary ruler Ashoka to other less exemplary figures. In exploring subjects as diverse as marriage, class, art, erotica, and astronomy, Thapar provides an incomparably vivid and nuanced picture of India. Above all, she shows the rich mosaic of diverse kingdoms, landscapes, languages, and beliefs.",78,1339,1966,384,Paperback,True,"India's Struggle for Independence;The Argumentative Indian: Writings on Indian History, Culture and Identity;India: A History;India After Gandhi: The History of the World's Largest Democracy;Moral Fiber - A Practical Guide to Living Our Values;The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire;Spies, Lies & Red Tape: A Spy-Military-Political Fiction Thriller based on the Indian Subcontinent;USAma(2nd Edition): Is USA the World's Largest Terrorist?;India's Ancient Past;The Discovery of India;History of Modern India;The Wonder That Was India: A Survey of the History and Culture of the Indian Sub-Continent before the coming of the Muslims;Our Moon Has Blood Clots: The Exodus of the Kashmiri Pandits;History Of Medieval India;White Mughals: Love and Betrayal in Eighteenth-Century India;Land of the Seven Rivers: A Brief History of India's Geography;Empires of the Indus: The Story of a River;From Plassey to Partition: A History of Modern India",history india non-fiction indian-history owned nonfiction south-asia ancient-history indian-authors default,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,32925689,"Hollywood Homicide (Detective by Day,#1)",,Kellye Garrett,,,eng,"Dayna Anderson doesn’t set out to solve a murder. All the semi-famous, mega-broke black actress wants is to help her parents keep their house. After witnessing a deadly hit-and-run, she figures pursuing the fifteen-grand reward isn’t the craziest thing a Hollywood actress has done for some cash.<br /><br />But what starts as simply trying to remember a speeding car soon blossoms into a full-on investigation. As Dayna digs deeper into the victim’s life, she wants more than just reward money. She’s determined to find the poor woman’s killer too. When she connects the accident to a notorious Hollywood crime spree, Dayna chases down leads at paparazzi hot spots, celeb homes and movie premieres. She loves every second—until someone tries to kill her.<br /><br />And there are no second takes in real life.",289,946,2017,,,True,"City of Saviors (Detective Elouise Norton, #4);Follow Her Home (Juniper Song, #1);Murder in G Major (Gethsemane Brown Mysteries #1);Land of Shadows (Detective Elouise Norton #1);Dim Sum of All Fears (A Noodle Shop Mystery, #2);Murder with Fried Chicken and Waffles (Mahalia Watkins Soul Food Mystery #1);Killing in C Sharp (Gethsemane Brown Mysteries #3);Broken Places (Cass Raines, #1);Trail of Echoes (Detective Elouise Norton #3);Skies of Ash (Detective Elouise Norton #2);Death in D Minor (Gethsemane Brown Mysteries #2);Death by Dumpling (A Noodle Shop Mystery, #1);The Plot Is Murder (Mystery Bookshop, #1);Read Herring Hunt (Mystery Bookshop, #2);They All Fall Down;Murder with Macaroni and Cheese (Mahalia Watkins Soul Food Mystery #2);Black Girls Must Die Exhausted;Scot Free",mystery fiction cozy-mystery cozy-mysteries contemporary mystery-thriller series library adult dnf,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,32785013,Hollywood Homicide (Detective by Day #1),0738752614,Kellye Garrett,2017,Midnight Ink,eng,"Dayna Anderson doesn’t set out to solve a murder. All the semi-famous, mega-broke black actress wants is to help her parents keep their house. After witnessing a deadly hit-and-run, she figures pursuing the fifteen-grand reward isn’t the craziest thing a Hollywood actress has done for some cash.<br /><br />But what starts as simply trying to remember a speeding car soon blossoms into a full-on investigation. As Dayna digs deeper into the victim’s life, she wants more than just reward money. She’s determined to find the poor woman’s killer too. When she connects the accident to a notorious Hollywood crime spree, Dayna chases down leads at paparazzi hot spots, celeb homes and movie premieres. She loves every second—until someone tries to kill her.<br /><br />And there are no second takes in real life.",289,946,2017,306,Paperback,True,"City of Saviors (Detective Elouise Norton, #4);Follow Her Home (Juniper Song, #1);Murder in G Major (Gethsemane Brown Mysteries #1);Land of Shadows (Detective Elouise Norton #1);Dim Sum of All Fears (A Noodle Shop Mystery, #2);Murder with Fried Chicken and Waffles (Mahalia Watkins Soul Food Mystery #1);Killing in C Sharp (Gethsemane Brown Mysteries #3);Broken Places (Cass Raines, #1);Trail of Echoes (Detective Elouise Norton #3);Skies of Ash (Detective Elouise Norton #2);Death in D Minor (Gethsemane Brown Mysteries #2);Death by Dumpling (A Noodle Shop Mystery, #1);The Plot Is Murder (Mystery Bookshop, #1);Read Herring Hunt (Mystery Bookshop, #2);They All Fall Down;Murder with Macaroni and Cheese (Mahalia Watkins Soul Food Mystery #2);Black Girls Must Die Exhausted;Scot Free",mystery fiction cozy-mystery cozy-mysteries contemporary mystery-thriller series library adult dnf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477496275l/32785013._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477496275l/32785013._SX98_.jpg
